Title,Authors,Description,First Day On List,Highest Rank,Weeks On List
17 CARNATIONS,Andrew Morton,"The Duke of Windsor; his wife, Wallis Simpson; and their relations with the Nazis.",2015-03-29,15,2
1944,Jay Winik,"A pivotal year that saw D-Day, the liberation of Paris, Franklin Roosevelt’s re-election and the Battle of the Bulge.",2015-10-11,9,2
32 YOLKS,Eric Ripert with Veronica Chambers,"The chef and co-owner of the New York restaurant Le Bernardin recalls his childhood and culinary education in France, including a stint in the terrifying Paris kitchen of Joël Robuchon.",2016-06-05,13,1
41,George W. Bush,"The former president’s portrait of his father, George H.W. Bush",2015-01-04,2,12
A COLONY IN A NATION,Chris Hayes,The MSNC host discusses race relations with a focus on the differences in policing in the white nation and its black colony.,2017-04-09,2,3
A COMMON STRUGGLE,Patrick J. Kennedy and Stephen Fried,"The former Rhode Island representative, the son of Senator Ted Kennedy, describes his troubles with bipolar disorder and addiction and his subsequent advocacy for mental health care and research.",2015-10-25,4,3
A CURIOUS MIND,Brian Grazer and Charles Fishman,"The Oscar-winning producer describes the importance of curiosity in his life, and how others can harness its power.",2015-04-26,7,4
A DREAM ABOUT LIGHTNING BUGS,Ben Folds,A memoir by the former frontman of the alternative rock band Ben Folds Five.,2019-08-18,7,1
A FINE ROMANCE,Candice Bergen,"The actress's memoir discusses her marriage to Louis Malle, her work on ""Murphy Brown"" and the birth of her daughter at 39.",2015-04-26,5,3
A FULL LIFE,Jimmy Carter,"At 90, the 39th president (and Nobel Prize winner) reflects on his private  and public life. 

",2015-07-26,4,8
A HIGHER LOYALTY,James Comey,The former F.B.I. director recounts cases and personal events that shaped his outlook on justice.,2018-05-06,1,9
A LIFE IN PARTS,Bryan Cranston,The actor discusses his relationships and career.,2016-10-30,7,2
A LOWCOUNTRY HEART,Pat Conroy,"Interviews, speeches, blog posts and essays by the author of “The Great Santini” and “The Lords of Discipline,” who died in March 2016.",2016-11-13,11,1
A MORE PERFECT UNION,Ben Carson with Candy Carson,A discussion of the Constitution by the candidate for the Republican presidential nomination.,2015-10-25,2,6
A MOTHER'S RECKONING,Sue Klebold,The mother of one of the Columbine shooters wrestles with her grief and guilt.,2016-03-06,2,4
A PERFECT SCORE,Kathryn Hall and Craig Hall,A couple’s experience in building a successful Napa Valley winery.,2016-10-02,11,1
A PERFECT UNION OF CONTRARY THINGS,Sarah Jensen with Maynard James Keenan,A biography of the lead singer and songwriter of the alternative metal group Tool.,2016-11-27,10,1
"A REPUBLIC, IF YOU CAN KEEP IT",Neil M. Gorsuch with Jane Nitze and David Feder,The associate justice of the Supreme Court shares key moments from his life and his views on the Constitution.,2019-09-29,14,1
A SONG FOR YOU,Robyn Crawford,A friend and collaborator gives her account of various aspects of her relationship with the late pop star Whitney Houston.,2019-12-01,10,1
A TIME FOR TRUTH,Ted Cruz,"The Texas senator and Republican presidential candidate tells his personal and political story, and offers ideas for ""reigniting the promise of America.""",2015-07-26,7,4
A TORCH KEPT LIT,William F. Buckley Jr,More than 50 eulogies for significant 20th-century figures.,2016-10-30,12,3
A WARNING,Anonymous,A senior official in the Trump administration offers an assessment of the president and makes a moral appeal.,2019-12-08,1,4
A WOMAN OF NO IMPORTANCE,Sonia Purnell,The true story of a Baltimore socialite who joined a spy organization during World War II and became essential to the French Resistance.,2019-05-05,13,3
ACCIDENTAL PRESIDENTS,Jared Cohen,The stories of eight men who became president without being elected because their predecessors died in office.,2019-04-28,12,2
ACCIDENTAL SAINTS,Nadia Bolz-Weber,A comic turned pastor documents encounters with grace and finding divinity in unlikely places.,2015-09-27,8,4
ACID FOR THE CHILDREN,Flea,A memoir by the bassist and a founding member of the Red Hot Chili Peppers.,2019-11-24,4,1
ADDICTED TO OUTRAGE,Glenn Beck,The conservative commentator encourages self-reflection and personal responsibility by Americans across the political spectrum.,2018-10-07,11,1
"ADIOS, AMERICA!",Ann Coulter,The political commentator denounces immigrants and their liberal supporters.,2015-06-21,2,10
ADNAN'S STORY,Rabia Chaudry,"A friend of Adnan Syed, whose murder case was the focus of the popular podcast “Serial,” maintains his innocence.",2016-08-28,14,1
"AL FRANKEN, GIANT OF THE SENATE",Al Franken,A memoir by the Democratic senator from Minnesota and former “Saturday Night Live” writer.,2017-06-18,1,18
ALL THE GALLANT MEN,Donald Stratton with Ken Gire,An eyewitness account of Pearl Harbor by a 94-year-old veteran.,2016-12-11,8,5
ALL THE PIECES MATTER,Jonathan Abrams,"An oral history of the creation and development of the series ""The Wire.""",2018-03-04,6,2
ALL THE SINGLE LADIES,Rebecca Traister,"An investigation into the lives of unmarried women, both their modern experiences and concerns and their role in American history and culture.",2016-03-20,15,3
ALLY,Michael B. Oren,"A memoir by a former Israeli ambassador to the United States, now a Knesset member.",2015-07-19,8,2
ALMOST EVERYTHING,Anne Lamott,Brief explorations into finding hope and wisdom in times of despair and uncertainty.,2018-11-04,7,6
ALONE AT DAWN,Dan Schilling and Lori Chapman Longfritz,An account of the actions taken by Air Force Combat Controller John Chapman in Afghanistan that earned him a posthumous Medal of Honor.,2019-07-21,13,3
ALWAYS LOOK ON THE BRIGHT SIDE OF LIFE,Eric Idle,"The Monty Python icon recalls his decades-long career in television, comedy, theater and film.",2018-10-21,14,1
AMERICA'S BITTER PILL,Steven Brill,"The issues in American health care and health care reform and recent developments including the drafting and implementation of the Affordable Care Act, by the journalist, editor and lawyer.",2015-01-25,4,5
AMERICA'S RELUCTANT PRINCE,Steven M. Gillon,A historian describes John F. Kennedy Jr. through the lens of their decades-long friendship.,2019-07-28,7,3
AMERICAN CARNAGE,Tim Alberta,Politico Magazine’s chief political correspondent narrates a decade-long civil war inside the G.O.P. and Donald Trump’s concurrent ascension.,2019-08-04,2,3
