Title,Authors,Description,Page Count,Genres,Publication Year,Star Score,Rating Count,Reviews Count,clean_title
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the plane's bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War.
The lieutenant’s name was Louis Zamperini. In boyhood, he'd been a cunning and incorrigible delinquent, breaking into houses, brawling, and fleeing his home to ride the rails. As a teenager, he had channeled his defiance into running, discovering a prodigious talent that had carried him to the Berlin Olympics and within sight of the four-minute mile. But when war had come, the athlete had become an airman, embarking on a journey that led to his doomed flight, a tiny raft, and a drift into the unknown.
Ahead of Zamperini lay thousands of miles of open ocean, leaping sharks, a foundering raft, thirst and starvation, enemy aircraft, and, beyond, a trial even greater. Driven to the limits of endurance, Zamperini would answer desperation with ingenuity; suffering with hope, resolve, and humor; brutality with rebellion. His fate, whether triumph or tragedy, would be suspended on the fraying wire of his will.",475,"['Nonfiction', 'History', 'Biography', 'World War II', 'War', 'Historical', 'Audiobook']",2010,4.38,928426,50079,UNBROKEN
Hamilton: The Revolution,Lin-Manuel Miranda,"Lin-Manuel Miranda's groundbreaking musical 
 is as revolutionary as its subject, the poor kid from the Caribbean who fought the British, defended the Constitution, and helped to found the United States. Fusing hip-hop, pop, R&B, and the best traditions of theater, this once-in-a-generation show broadens the sound of Broadway, reveals the storytelling power of rap, and claims our country's origins for a diverse new generation.
Hamilton: The Revolution
 gives readers an unprecedented view of both revolutions, from the only two writers able to provide it. Miranda and Jeremy McCarter, a cultural critic and theater artist who was involved in the project from its earliest stages--""since before this was even a show,"" according to Miranda--trace its development from an improbable perfor­mance at the White House to its landmark opening night on Broadway six years later. In addition, Miranda has written more than 200 funny, revealing footnotes for his award-winning libretto, the full text of which is published here.
Their account features photos by the renowned Frank Ockenfels and veteran Broadway photographer Joan Marcus; exclusive looks at notebooks and emails; interviews with Questlove, Stephen Sond­heim, leading political commentators, and more than 40 people involved with the production; and multiple appearances by Presi­dent Obama himself. The book does more than tell the surprising story of how a Broadway musical became a national phenomenon: It demonstrates that America has always been renewed by the brash upstarts and brilliant outsiders, the men and women who don't throw away their shot.",285,"['Nonfiction', 'History', 'Plays', 'Audiobook', 'Music', 'Historical', 'Theatre']",2015,4.45,52649,6060,HAMILTON
Evicted: Poverty and Profit in the American City,Matthew Desmond,"In 
, Princeton sociologist Matthew Desmond follows eight families in Milwaukee as they struggle to keep a roof over their heads. 
Evicted
 transforms our understanding of poverty and economic exploitation while providing fresh ideas for solving one of 21st-century America's most devastating problems. Its unforgettable scenes of hope and loss remind us of the centrality of home, without which nothing else is possible.",418,"['Nonfiction', 'Sociology', 'Politics', 'Social Justice', 'History', 'Economics', 'Audiobook']",2016,4.47,95603,11547,EVICTED
Born a Crime: Stories From a South African Childhood,Trevor Noah,"The memoir of one man’s coming-of-age, set during the twilight of apartheid and the tumultuous days of freedom that followed.
 
Trevor Noah’s unlikely path from apartheid South Africa to the desk of The Daily Show began with a criminal act: his birth. Trevor was born to a white Swiss father and a black Xhosa mother at a time when such a union was punishable by five years in prison. Living proof of his parents’ indiscretion, Trevor was kept mostly indoors for the earliest years of his life, bound by the extreme and often absurd measures his mother took to hide him from a government that could, at any moment, steal him away. Finally liberated by the end of South Africa’s tyrannical white rule, Trevor and his mother set forth on a grand adventure, living openly and freely and embracing the opportunities won by a centuries-long struggle.
 
 is the story of a mischievous young boy who grows into a restless young man as he struggles to find himself in a world where he was never supposed to exist. It is also the story of that young man’s relationship with his fearless, rebellious, and fervently religious mother—his teammate, a woman determined to save her son from the cycle of poverty, violence, and abuse that would ultimately threaten her own life.",289,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Humor', 'Autobiography', 'Africa']",2016,4.49,680766,55333,BORN A CRIME
A Mother's Reckoning: Living in the Aftermath of Tragedy,Sue Klebold,"On April 20, 1999, Eric Harris and Dylan Klebold walked into Columbine High School in Littleton, Colorado. Over the course of minutes, they would kill twelve students and a teacher and wound twenty-four others before taking their own lives.
  
 For the last sixteen years, Sue Klebold, Dylan’s mother, has lived with the indescribable grief and shame of that day. How could her child, the promising young man she had loved and raised, be responsible for such horror? And how, as his mother, had she not known something was wrong? Were there subtle signs she had missed? What, if anything, could she have done differently?
  
 These are questions that Klebold has grappled with every day since the Columbine tragedy. In 
, she chronicles with unflinching honesty her journey as a mother trying to come to terms with the incomprehensible. In the hope that the insights and understanding she has gained may help other families recognize when a child is in distress, she tells her story in full, drawing upon her personal journals, the videos and writings that Dylan left behind, and on countless interviews with mental health experts.
  
 Filled with hard-won wisdom and compassion, 
A Mother’s Reckoning 
is a powerful and haunting book that sheds light on one of the most pressing issues of our time. And with fresh wounds from the recent Newtown and Charleston shootings, never has the need for understanding been more urgent.
  
All author profits from the book will be donated to research and to charitable organizations focusing on mental health issues.",336,"['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Audiobook', 'Crime', 'Biography Memoir']",2016,4.13,39906,5436,A MOTHER
"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,"From the best-selling author of 
and 
We Should All Be Feminists
 comes a powerful new statement about feminism today--written as a letter to a friend. 
A few years ago, Chimamanda Ngozi Adichie received a letter from a dear friend from childhood, asking her how to raise her baby girl as a feminist. 
Dear Ijeawele 
is Adichie's letter of response.
Here are fifteen invaluable suggestions--compelling, direct, wryly funny, and perceptive--for how to empower a daughter to become a strong, independent woman. From encouraging her to choose a helicopter, and not only a doll, as a toy if she so desires; having open conversations with her about clothes, makeup, and sexuality; debunking the myth that women are somehow biologically arranged to be in the kitchen making dinner, and that men can ""allow"" women to have full careers, 
Dear Ijeawele
 goes right to the heart of sexual politics in the twenty-first century. It will start a new and urgently needed conversation about what it really means to be a woman today.",63,"['Nonfiction', 'Feminism', 'Essays', 'Audiobook', 'Womens', 'Parenting', 'Africa']",2017,4.51,81243,9938,DEAR IJEAWELE
Educated,Tara Westover,"Tara Westover was 17 the first time she set foot in a classroom. Born to survivalists in the mountains of Idaho, she prepared for the end of the world by stockpiling home-canned peaches and sleeping with her ""head-for-the-hills bag"". In the summer she stewed herbs for her mother, a midwife and healer, and in the winter she salvaged in her father's junkyard.
Her father forbade hospitals, so Tara never saw a doctor or nurse. Gashes and concussions, even burns from explosions, were all treated at home with herbalism. The family was so isolated from mainstream society that there was no one to ensure the children received an education and no one to intervene when one of Tara's older brothers became violent.
Then, lacking any formal education, Tara began to educate herself. She taught herself enough mathematics and grammar to be admitted to Brigham Young University, where she studied history, learning for the first time about important world events like the Holocaust and the civil rights movement. Her quest for knowledge transformed her, taking her over oceans and across continents, to Harvard and to Cambridge. Only then would she wonder if she'd traveled too far, if there was still a way home.
Educated
 is an account of the struggle for self-invention. It is a tale of fierce family loyalty and of the grief that comes with severing the closest of ties. With the acute insight that distinguishes all great writers, Westover has crafted a universal coming-of-age story that gets to the heart of what an education is and what it offers: the perspective to see one's life through new eyes and the will to change it.",352,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Book Club']",2018,4.47,1490090,106337,EDUCATED
Calypso,David Sedaris,"David Sedaris returns with his most deeply personal and darkly hilarious book.
If you've ever laughed your way through David Sedaris's cheerfully misanthropic stories, you might think you know what you're getting with Calypso. You'd be wrong. When he buys a beach house on the Carolina coast, Sedaris envisions long, relaxing vacations spent playing board games and lounging in the sun with those he loves most. And life at the Sea Section, as he names the vacation home, is exactly as idyllic as he imagined, except for one tiny, vexing it's impossible to take a vacation from yourself.With Calypso, Sedaris sets his formidable powers of observation toward middle age and mortality. Make no these stories are very, very funny--it's a book that can make you laugh 'til you snort, the way only family can. Sedaris's powers of observation have never been sharper, and his ability to shock readers into laughter unparalleled. But much of the comedy here is born out of that vertiginous moment when your own body betrays you and you realize that the story of your life is made up of more past than future.This is beach reading for people who detest beaches, required reading for those who loathe small talk and love a good tumor joke. Calypso is simultaneously Sedaris's darkest and warmest book yet--and it just might be his very best.",273,"['Nonfiction', 'Humor', 'Memoir', 'Essays', 'Audiobook', 'Short Stories', 'Biography']",2018,4.11,131019,11801,CALYPSO
The Sun Does Shine: How I Found Life and Freedom on Death Row,Anthony Ray Hinton,"A powerful, revealing story of hope, love, justice, and the power of reading by a man who spent thirty years on death row for a crime he didn't commit.
In 1985, Anthony Ray Hinton was arrested and charged with two counts of capital murder in Alabama. Stunned, confused, and only twenty-nine years old, Hinton knew that it was a case of mistaken identity and believed that the truth would prove his innocence and ultimately set him free.
But with no money and a different system of justice for a poor black man in the South, Hinton was sentenced to death by electrocution. He spent his first three years on Death Row at Holman State Prison in agonizing silence—full of despair and anger toward all those who had sent an innocent man to his death. But as Hinton realized and accepted his fate, he resolved not only to survive, but find a way to live on Death Row. For the next twenty-seven years he was a beacon—transforming not only his own spirit, but those of his fellow inmates, fifty-four of whom were executed mere feet from his cell. With the help of civil rights attorney and bestselling author of 
, Bryan Stevenson, Hinton won his release in 2015.
With a foreword by Stevenson, 
The Sun Does Shine
 is an extraordinary testament to the power of hope sustained through the darkest times. Destined to be a classic memoir of wrongful imprisonment and freedom won, Hinton’s memoir tells his dramatic thirty-year journey and shows how you can take away a man’s freedom, but you can’t take away his imagination, humor, or joy.",272,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'True Crime', 'Race', 'Social Justice']",2018,4.64,57253,8192,THE SUN DOES SHINE
"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,"In 2017, a routine network television investigation led Ronan Farrow to a story only whispered about: one of Hollywood's most powerful producers was a predator, protected by fear, wealth, and a conspiracy of silence. As Farrow drew closer to the truth, shadowy operatives, from high-priced lawyers to elite war-hardened spies, mounted a secret campaign of intimidation, threatening his career, following his every move and weaponizing an account of abuse in his own family.
All the while, Farrow and his producer faced a degree of resistance that could not be explained - until now. And a trail of clues revealed corruption and cover-ups from Hollywood, to Washington, and beyond.
This is the untold story of the exotic tactics of surveillance and intimidation deployed by wealthy and connected men to threaten journalists, evade accountability and silence victims of abuse - and it's the story of the women who risked everything to expose the truth and spark a global movement.
Both a spy thriller and a meticulous work of investigative journalism, 
Catch and Kill
 breaks devastating new stories about the rampant abuse of power - and sheds far-reaching light on investigations that shook the culture.
In a dramatic account of violence and espionage, Pulitzer Prize-winning investigative reporter Ronan Farrow exposes serial abusers and a cabal of powerful interests hell-bent on covering up the truth, at any cost.",608,"['Nonfiction', 'True Crime', 'Audiobook', 'Politics', 'Crime', 'Feminism', 'Journalism']",2019,4.41,96138,10360,CATCH AND KILL
