Title,Authors,Description,Page Count,Genres,Publication Year,Star Score,Rating Count,Reviews Count
John Adams,David McCullough,"The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.
In this powerful, epic biography, David McCullough unfolds the adventurous life-journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot -- ""the colossus of independence,"" as Thomas Jefferson called him -- who spared nothing in his zeal for the American Revolution; who rose to become the second President of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as ""out of his senses""; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history. 
Like his masterly, Pulitzer Prize-winning biography Truman, David McCullough's John Adams has the sweep and vitality of a great novel. It is both a riveting portrait of an abundantly human man and a vivid evocation of his time, much of it drawn from an outstanding collection of Adams family letters and diaries. In particular, the more than one thousand surviving letters between John and Abigail Adams, nearly half of which have never been published, provide extraordinary access to their private lives and make it possible to know John Adams as no other major American of his founding era. 
As he has with stunning effect in his previous books, McCullough tells the story from within -- from the point of view of the amazing eighteenth century and of those who, caught up in events, had no sure way of knowing how things would turn out. George Washington, Benjamin Franklin, John Jay, the British spy Edward Bancroft, Madame Lafayette and Jefferson's Paris ""interest"" Maria Cosway, Alexander Hamilton, James Madison, the scandalmonger James Callender, Sally Hemings, John Marshall, Talleyrand, and Aaron Burr all figure in this panoramic chronicle, as does, importantly, John Quincy Adams, the adored son whom Adams would live to see become President. 
Crucial to the story, as it was to history, is the relationship between Adams and Jefferson, born opposites -- one a Massachusetts farmer's son, the other a Virginia aristocrat and slaveholder, one short and stout, the other tall and spare. Adams embraced conflict; Jefferson avoided it. Adams had great humor; Jefferson, very little. But they were alike in their devotion to their country. 
At first they were ardent co-revolutionaries, then fellow diplomats and close friends. With the advent of the two political parties, they became archrivals, even enemies, in the intense struggle for the presidency in 1800, perhaps the most vicious election in history. Then, amazingly, they became friends again, and ultimately, incredibly, they died on the same day -- their day of days -- July 4, in the year 1826. 
Much about John Adams's life will come as a surprise to many readers. His courageous voyage on the frigate Boston in the winter of 1778 and his later trek over the Pyrenees are exploits that few would have dared and that few readers will ever forget. 
It is a life encompassing a huge arc -- Adams lived longer than any president. The story ranges from the Boston Massacre to Philadelphia in 1776 to the Versailles of Louis XVI, from Spain to Amsterdam, from the Court of St. James's, where Adams was the first American to stand before King George III as a representative of the new nation, to the raw, half-finished Capital by the Potomac, where Adams was the first President to occupy the White House. 
This is history on a grand scale -- a book about politics and war and social issues, but also about human nature, love, religious faith, virtue, ambition, friendship and betrayal, and the far-reaching consequences of noble ideas. Above all, John Adams is an enthralling, often surprising story of one of the most important and fascinating Americans who ever lived.",751,"['History', 'Biography', 'Nonfiction', 'American History', 'Presidents', 'Politics', 'Historical']",2001,4.07,359949,7166
The Universe in a Nutshell,Stephen Hawking,"Stephen Hawking’s phenomenal, multimillion-copy bestseller, A Brief History of Time, introduced the ideas of this brilliant theoretical physicist to readers all over the world.
Now, in a major publishing event, Hawking returns with a lavishly illustrated sequel that unravels the mysteries of the major breakthroughs that have occurred in the years since the release of his acclaimed first book.",216,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Popular Science', 'Space', 'Audiobook']",2001,4.18,42378,1267
A Cook's Tour: Global Adventures in Extreme Cuisines,Anthony Bourdain,"From the star of 
No Reservations
, Anthony Bourdain's 
New York Times-
bestselling chronicle of travelling the world in search the globe's greatest cuilnary adventures
The only thing ""gonzo gastronome"" and internationally bestselling author Anthony Bourdain loves as much as cooking is traveling. Inspired by the question, ""What would be the perfect meal?,"" Tony sets out on a quest for his culinary holy grail, and in the process turns the notion of ""perfection"" inside out. From California to Cambodia, 
A Cooks' Tour
 chronicles the unpredictable adventures of America's boldest and bravest chef.
Fans of Bourdain will find much to love in revisting this classic culinary and travel memoir.",277,"['Nonfiction', 'Food', 'Travel', 'Memoir', 'Cooking', 'Biography', 'Foodie']",2001,4.08,27693,1511
Persepolis 2: The Story of a Return ,Marjane Satrapi,"In
, heralded by the 
Los Angeles Times
 as ""one of the freshest and most original memoirs of our day,"" Marjane Satrapi dazzled us with her heartrending memoir-in-comic-strips about growing up in Iran during the Islamic Revolution. Here is the continuation of her fascinating story. In 1984, Marjane flees fundamentalism and the war with Iraq to begin a new life in Vienna. Once there, she faces the trials of adolescence far from her friends and family, and while she soon carves out a place for herself among a group of fellow outsiders, she continues to struggle for a sense of belonging.
Finding that she misses her home more than she can stand, Marjane returns to Iran after graduation. Her difficult homecoming forces her to confront the changes both she and her country have undergone in her absence and her shame at what she perceives as her failure in Austria. Marjane allows her past to weigh heavily on her until she finds some like-minded friends, falls in love, and begins studying art at a university. However, the repression and state-sanctioned chauvinism eventually lead her to question whether she can have a future in Iran.
As funny and poignant as its predecessor, 
Persepolis 2
 is another clear-eyed and searing condemnation of the human cost of fundamentalism. In its depiction of the struggles of growing up--here compounded by Marjane's status as an outsider both abroad and at home--it is raw, honest, and incredibly illuminating.",187,"['Graphic Novels', 'Nonfiction', 'Comics', 'Memoir', 'Biography', 'History', 'Iran']",2003,4.21,74931,3144
Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior ,Temple Grandin,"Why would a cow lick a tractor? Why are collies getting dumber? Why do dolphins sometimes kill for fun? How can a parrot learn to spell? How did wolves teach man to evolve? 
Temple Grandin draws upon a long, distinguished career as an animal scientist and her own experiences with autism to deliver an extraordinary message about how animals act, think, and feel. She has a perspective like that of no other expert in the field, which allows her to offer unparalleled observations and groundbreaking ideas.
People with autism can often think the way animals think, putting them in the perfect position to translate ""animal talk."" Grandin is a faithful guide into their world, exploring animal pain, fear, aggression, love, friendship, communication, learning, and, yes, even animal genius. The sweep of Animals in Translation is immense and will forever change the way we think about animals.
*includes a Behavior and Training Troubleshooting Guide
 
Among its provocative ideas, the book:
~argues that language is not a requirement for consciousness--and that animals do have consciousness.
~applies the autism theory of ""hyper-specificity"" to animals, showing that animals and autistic people are so sensitive to detail that they ""can't see the forest for the trees""--a talent as well as a ""deficit"".
~explores the ""interpreter"" in the normal human brain that filters out detail, leaving people blind to much of the reality that surrounds them--a reality animals and autistic people see, sometimes all too clearly.
~explains how animals have ""superhuman"" skills: animals have animal genius.
~compares animals to autistic savants, declaring that animals may in fact be autistic savants, with special forms of genius that normal people do not possess and sometimes cannot even see.
~examines how humans and animals use their emotions to think, to decide, and even to predict the future.
~reveals the remarkable abilities of handicapped people and animals .
~maintains that the single worst thing you can do to an animal is to make it feel afraid.",358,"['Nonfiction', 'Animals', 'Science', 'Psychology', 'Autistic Spectrum Disorder', 'Dogs', 'Nature']",2004,4.15,9507,1176
Theodore Rex,Edmund Morris,"Theodore Roosevelt and his two-term presidency (1901-9) deserve a king-size, seize-the-man biography - and Edmund Morris has provided one. ""TR"" typifies the ""can do"" American; his famous maxim, of course, was ""Speak softly but carry a big stick."" Morris presents eyewitness history through the voices of the makers and shakers. His exhilarating narrative will captivate readers, providing welcome confirmation that this nation can produce presidents who bring leadership to great issues, hold to their purpose, and shape the destinies of nations. 
President McKinley's assassination brought the 43-year-old TR a challenging presidency, one to which Morris is a clearsighted guide. At home, TR had to persuade Congress to curb competition-stifling corporate trusts, monopolistic transcontinental railroads, and unhygienic food industries that saw consumers as sheep. He also faced labor and racial strife. Abroad, the American presence in Cuba and the Philippines brought criticism, the Russo-Japanese conflict threatened major power shifts in the Far East and Europe, and a politically and financially fraught decision on the Central American canal route - Panama or Nicaragua? - had to be made. TR rose to every challenge. Despite the demands of family and social life, he read, wrote, and traveled extensively. Not least, TR put national parks and conservation of natural resources on the legislative agenda.
All TR's notable contemporaries - including historian Henry Adams, naturalists John Burroughs and John Muir, robber barons E. H. Harriman and James J. Hill, poet Oliver Wendell Holmes, financier J. P. Morgan, fellow politician William Howard Taft, civil rights leader Booker T. Washington, and novelist Owen Wister - appear onstage, their clear voices projecting the excitement of the day.
Morris is blessed with the imagination and skills to write gripping popular history. He doesn't dilute but illuminates events in presenting an account that immediately sparks interest and captures the mind. Readers will note that American interventionism abroad (today's major issue) was much debated during TR's presidency, when major interventional imperatives challenged the new superpower's tradition of relative restraint in foreign affairs.
 is the long-awaited second volume of the TR saga. Morris delivered the first volume, 


The Rise of Theodore Roosevelt


, in 1979. It won a Pulitzer Prize; 
Theodore Rex
 is a solid bet for another. 
(Peter Skinner)",772,"['Biography', 'History', 'Nonfiction', 'Presidents', 'American History', 'Politics', 'Biography Memoir']",2001,4.18,49178,1310
New and Collected Poems: 1931-2001,Czesław Miłosz,"New and Collected Poems: 1931—2001
 celebrates seven decades of Czeslaw Milosz’s exceptional career. Widely regarded as one of the greatest poets of our time, Milosz is a master of probing inquiry and graceful expression. His poetry is infused with a tireless spirit and penetrating insight into fundamental human dilemmas and the staggering yet simple truth that “to exist on the earth is beyond any power to name.”
Czeslaw Milosz worked with the Polish Resistance movement in Warsaw during World War II and defected to France in 1951. His work brings to bear the political awareness of an exile—most notably in 
A Treatise on Poetry,
 a forty-page exploration of the world wars that rocked the first half of the twentieth century. His later poems also reflect the sharp political focus through which this Nobel Laureate never fails to bear witness to the events that stir the world.
Digging among the rubble of the past, Milosz forges a vision that encompasses pain as well as joy. His work, wrote Edward Hirsch in the 
New York Times Book Review,
 is “one of the monumental splendors of poetry in our age.” With more than fifty poems from the end of Milosz’s career, this is an essential collection from one of the most important voices in contemporary poetry.",800,"['Poetry', 'Polish Literature', 'Literature', 'Poland', 'Nobel Prize', 'Nonfiction', '20th Century']",2001,4.34,2032,60
Napalm & Silly Putty,George Carlin,"I THINK I AM, THEREFORE I AM. I THINK.
In 
, George Carlin, the thinking person's comic, offers a hilarious new collection of razor-sharp observations on God, language, death, pets, driving, food, sports, airplanes, advertising, news, businessmen, and much, much more!
* Just when I discovered the meaning of life, they changed it.
* If people climb Mt. Everest because it's hard to do, why do they go up on the easy side?
* With a little effort, oxen can be trained to genuflect and whistle softly in the moonlight.
* How can it be a spy satellite if they announce on TV that its a spy satellite?
* If people stand in a circle long enough, they will eventually begin to dance.
* Guys don't seem to be called ""Lefty"" anymore.
* No one quite knows what's next, but everybody does it.
* I think it would be great if you could make a guy's head explode just by staring at him.
* Am I the only one who's noticed that the Lone Ranger and Tonto never got their laundry done?
You'll learn what Carlin thinks of saving the planet, his suggestion for revamping the prison system, and why he prays to Joe Pesci. Add to the mix ""The Ten Most Embarrassing Songs of All Time,"" ""The 20th Century Hostility Scoreboard,"" and ""People I Can Do Without,"" and you have an irresistible assortment of quips, probes, thrusts, and verbal ordeals that are as smart as they are infectiously funny.",269,"['Humor', 'Nonfiction', 'Comedy', 'Essays', 'Audiobook', 'American', 'Politics']",2001,4.09,16367,441
"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,"At the age of twenty-two, Jennifer Worth leaves her comfortable home to move into a convent and become a midwife in post war London's East End slums. The colorful characters she meets while delivering babies all over London--from the plucky, warm-hearted nuns with whom she lives to the woman with twenty-four children who can't speak English to the prostitutes and dockers of the city's seedier side--illuminate a fascinating time in history. 
Beautifully written and utterly moving, 
 will touch the hearts of anyone who is, and everyone who has, a mother.",340,"['Nonfiction', 'Memoir', 'History', 'Biography', 'Historical', 'Audiobook', 'Biography Memoir']",2002,4.18,72035,7526
"The Day the World Came to Town: 9/11 in Gander, Newfoundland",Jim DeFede,"Perfect for fans of the hit Broadway musical 
Come from Away
.
When 38 jetliners bound for the United States were forced to land at Gander International Airport in Canada by the closing of U.S. airspace on September 11, the population of this small town on Newfoundland Island swelled from 10,300 to nearly 17,000. The citizens of Gander met the stranded passengers with an overwhelming display of friendship and goodwill. As the passengers stepped from the airplanes, exhausted, hungry and distraught after being held on board for nearly 24 hours while security checked all of the baggage, they were greeted with a feast prepared by the townspeople. Local bus drivers who had been on strike came off the picket lines to transport the passengers to the various shelters set up in local schools and churches. Linens and toiletries were bought and donated. A middle school provided showers, as well as access to computers, email, and televisions, allowing the passengers to stay in touch with family and follow the news.
Over the course of those four days, many of the passengers developed friendships with Gander residents that they expect to last a lifetime. As a show of thanks, scholarship funds for the children of Gander have been formed and donations have been made to provide new computers for the schools. This book recounts the inspiring story of the residents of Gander, Canada, whose acts of kindness have touched the lives of thousands of people and been an example of humanity and goodwill.",256,"['Nonfiction', 'History', 'Audiobook', 'Canada', 'Historical', 'Adult', 'Book Club']",2002,4.24,51184,7510
Living to Tell the Tale,Gabriel García Márquez,"No writer of his time exerted the magical appeal of Gabriel García Márquez. In this long-awaited autobiography, the great Nobel laureate tells the story of his life from his birth in1927 to the moment in the 1950s when he proposed to his wife. The result is as spectacular as his finest fiction.
Here is García Márquez’s shimmering evocation of his childhood home of Aracataca, the basis of the fictional Macondo. Here are the members of his ebulliently eccentric family. Here are the forces that turned him into a writer. Warm, revealing, abounding in images so vivid that we seem to be remembering them ourselves, Living to Tell the Tale is a work of enchantment.",533,"['Nonfiction', 'Biography', 'Memoir', 'Autobiography', 'Literature', 'Spanish Literature', 'Latin American']",2002,4.02,11595,908
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,"In 
, Steven Pinker explores the idea of human nature and its moral, emotional, and political colorings. He shows how many intellectuals have denied the existence of human nature by embracing three linked dogmas: 
the Blank Slate
 (the mind has no innate traits), 
the Noble Savage
 (people are born good and corrupted by society), and 
the Ghost in the Machine
 (each of us has a soul that makes choices free from biology). Each dogma carries a moral burden, so their defenders have engaged in desperate tactics to discredit the scientists who are now challenging them.
Pinker injects calm and rationality into these debates by showing that equality, progress, responsibility, and purpose have nothing to fear from discoveries about a rich human nature. He disarms even the most menacing threats with clear thinking, common sense, and pertinent facts from science and history.
Despite its popularity among intellectuals during much of the twentieth century, he argues, the doctrine of the Blank Slate may have done more harm than good. It denies our common humanity and our individual preferences, replaces hardheaded analyses of social problems with feel-good slogans, and distorts our understanding of government, violence, parenting, and the arts.
Pinker shows that an acknowledgement of human nature that is grounded in science and common sense, far from being dangerous, can complement insights about the human condition made by millennia of artists and philosophers. All this is done in the style that earned his previous books many prizes and worldwide acclaim: 
wit, lucidity, and insight into matters great and small
.",560,"['Psychology', 'Science', 'Nonfiction', 'Philosophy', 'Sociology', 'Biology', 'Politics']",2002,4.09,24341,1119
The Demon in the Freezer,Richard Preston,"The first major bioterror event in the United States--the anthrax attacks in October 2001--was a clarion call for scientists who work with “hot” agents to find ways of protecting civilian populations against biological weapons. In 
, his first nonfiction book since 
The Hot Zone
, Richard Preston takes us into the heart of Usamriid, the United States Army Medical Research Institute of Infectious Diseases at Fort Detrick, Maryland, once the headquarters of the U.S. biological weapons program and now the epicenter of national biodefense.
Peter Jahrling, the top scientist at Usamriid, a wry virologist who cut his teeth on Ebola, one of the world’s most lethal emerging viruses, has ORCON security clearance that gives him access to top secret information on bioweapons. His most urgent priority is to develop a drug that will take on smallpox--and win. Eradicated from the planet in 1979 in one of the great triumphs of modern science, the smallpox virus now resides, officially, in only two high-security freezers: at the Centers for Disease Control in Atlanta and in Siberia, at a Russian virology institute called Vector. But ""the demon in the freezer"" has been set loose. It is almost certain that illegal stocks are in the possession of hostile states, including Iraq and North Korea. Jahrling is haunted by the thought that biologists in secret labs are using genetic engineering to create a new superpox virus, a smallpox resistant to all vaccines.
Usamriid went into a state of Delta Alert on September 11, 2001 and activated its emergency response teams when the first anthrax letters were opened in New York and Washington, D.C. Preston reports, in unprecedented detail, on the government’s response to the attacks and takes us into the ongoing FBI investigation. His story is based on interviews with top-level FBI agents and with Dr. Steven Hatfill. Jahrling is leading a team of scientists doing controversial experiments with live smallpox virus at the CDC. Preston takes us into the lab where Jahrling is reawakening smallpox and explains, with cool and devastating precision, what may be at stake if his last bold experiment fails.",240,"['Nonfiction', 'Science', 'History', 'Medical', 'Medicine', 'Biology', 'Disease']",2002,4.15,16410,1259
A Short History of Nearly Everything,Bill Bryson,"Bill Bryson describes himself as a reluctant traveller, but even when he stays safely at home he can't contain his curiosity about the world around him. ""A Short History of Nearly Everything"" is his quest to understand everything that has happened from the Big Bang to the rise of civilisation - how we got from there, being nothing at all, to here, being us. The ultimate eye-opening journey through time and space, revealing the world in a way most of us have never seen it before.",544,"['Nonfiction', 'Science', 'History', 'Audiobook', 'Humor', 'Physics', 'Popular Science']",2003,4.21,382792,15633
