Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39380381,Say What You Mean: A Mindful Approach to Nonviolent Communication,Oren Jay Sofer,"Sofer, Oren Jay",,"=""161180583X""","=""9781611805833""",4,4.14,Shambhala,Paperback,304,2018,2018,2025/10/21,2025/10/21,,,read,,,,1,0
215153740,All the Colors of the Dark,Chris  Whitaker,"Whitaker, Chris",,"=""0593798880""","=""9780593798881""",0,4.26,Crown Publishing Group,Kindle Edition,597,2024,2024,2025/10/17,2025/10/17,,,read,,,,1,0
127279000,Listen for the Lie,Amy Tintera,"Tintera, Amy",,"=""1250880319""","=""9781250880314""",4,4.08,Celadon Books,Hardcover,336,2024,2024,2025/10/10,2025/10/10,,,read,,,,1,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",5,3.52,Atlantic Monthly Press,Hardcover,224,2023,2023,2025/10/07,2025/10/07,,,read,"My favorite book of the year to date!Fantastic audiobook.<br/><br/>I would recommend this book to anyone that loves to travel, has fantasies of being an astronaut, lovers of philosophy, or wonders what is the point of it all. ",,,1,0
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,"=""0593655036""","=""9780593655030""",5,4.32,Penguin Press,Hardcover,400,2024,2024,2025/10/02,2025/10/02,,,read,,,,1,0
48989372,A Very Punchable Face,Colin Jost,"Jost, Colin",,"=""1101906324""","=""9781101906323""",5,4.20,Crown,Hardcover,312,2020,2020,2025/09/22,2025/09/22,,,read,"A few stories were perfect and reason enough to read the memoir, like why he loves his mom, the WrestleMania story, and the Holland Tunnel/Lincoln Tunnel joke. Author read the audio version- it enhances the book to hear his timing and cadence. Laughed out loud many times! ",,,1,0
63024287,The First Ladies,Marie Benedict,"Benedict, Marie",Victoria Christopher Murray,"=""0593440285""","=""9780593440285""",0,4.04,Berkley,Hardcover,389,2023,2023,2025/09/19,2025/09/19,,,read,,,,1,0
8215796,Taking Charge of Adult ADHD,Russell A. Barkley,"Barkley, Russell A.",,"=""1606233386""","=""9781606233382""",5,3.85,The Guilford Press,Paperback,294,2010,2000,2025/09/11,2025/09/11,,,read,,,,1,0
29010395,I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,"Sánchez, Erika L.",,"=""1524700487""","=""9781524700485""",5,4.00,Knopf Books for Young Readers,Hardcover,344,2017,2017,2025/09/04,2025/09/04,,,read,,,,1,0
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""""","=""""",0,3.97,Knopf,Hardcover,294,2018,2018,2025/09/03,2025/09/03,,,read,,,,1,0
71730,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,"Rosenberg, Marshall B.",Arun Gandhi,"=""1892005034""","=""9781892005038""",5,4.33,Puddledancer Press,Paperback,220,2003,1999,2025/08/29,2025/08/29,,,read,,,,1,0
45897523,Blowout,Rachel Maddow,"Maddow, Rachel",,"=""0525575499""","=""9780525575498""",0,4.34,Crown,Kindle Edition,400,2019,2019,2025/08/27,2025/08/27,,,read,,,,1,0
26324,Social Intelligence: The New Science of Human Relationships,Daniel Goleman,"Goleman, Daniel",,"=""0553803522""","=""9780553803525""",0,3.99,Bantam,Hardcover,416,2006,2006,2025/08/25,2025/08/25,,,read,,,,1,0
30314992,"American Queen (New Camelot Trilogy, #1)",Sierra Simone,"Simone, Sierra",,"=""153344367X""","=""9781533443670""",2,3.82,Createspace Independent Pub,Paperback,393,2016,2016,2025/08/22,2025/08/22,,,read,"I loved Priest and enjoyed all the other books  I’ve read from this author… until this one. <br/><br/>Consent is an issue throughout the book. The male main character sounds like a manipulative, self-absorbed misogynist. Not my bag. ",,,1,0
26259196,"Porn Star (P*rn Star, #1)",Laurelin Paige,"Paige, Laurelin",Sierra Simone,"=""""","=""""",0,3.78,,ebook,286,2016,2016,2025/08/16,2025/08/16,,,read,,,,1,0
